,Raw_Tagged,Clean,Bio_tagged,Span_Tagged,Coarse_tag,Coarse_Span_Tagged
3765,<tat-idam>K1 <joSin-sadfSena>T6 <<<svakIya-vEBava>K1-vikatTana>T6-pareRa>T6,tat idam joSin sadfSena svakIya vEBava vikatTana pareRa,B-C I-C B-C I-C B-C I-C I-C I-C,"0,2 K1|2,4 T6|4,6 K1|4,7 T6|4,8 T6",<tat-idam>Tatpurusha <joSin-sadfSena>Tatpurusha <<<svakIya-vEBava>Tatpurusha-vikatTana>Tatpurusha-pareRa>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha|4,8 Tatpurusha"
3766,<<sakalA-kalA>K1-pUrRaH>T3,sakalA kalA pUrRaH,B-C I-C I-C,"0,2 K1|0,3 T3",<<sakalA-kalA>Tatpurusha-pUrRaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
3767,<SvAsa-ucCvAsasya>Di <A-dinaM>A1 <aBi-muKam>A1 <sva-muKaM>T6 <<prARa-vAyu>T6-sevanaM>T6,SvAsa ucCvAsasya A dinaM aBi muKam sva muKaM prARa vAyu sevanaM,B-C I-C B-C I-C B-C I-C B-C I-C B-C I-C I-C,"0,2 Di|2,4 A1|4,6 A1|6,8 T6|8,10 T6|8,11 T6",<SvAsa-ucCvAsasya>Dvandva <A-dinaM>Avyayibhava <aBi-muKam>Avyayibhava <sva-muKaM>Tatpurusha <<prARa-vAyu>Tatpurusha-sevanaM>Tatpurusha,"0,2 Dvandva|2,4 Avyayibhava|4,6 Avyayibhava|6,8 Tatpurusha|8,10 Tatpurusha|8,11 Tatpurusha"
3768,<<kusuma-Bara>U-BaritA>T3 <sahakAra-tarum>K1 <sa-nATA>BvS,kusuma Bara BaritA sahakAra tarum sa nATA,B-C I-C I-C B-C I-C B-C I-C,"0,2 U|0,3 T3|3,5 K1|5,7 BvS",<<kusuma-Bara>Tatpurusha-BaritA>Tatpurusha <sahakAra-tarum>Tatpurusha <sa-nATA>Bahuvrihi,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha|5,7 Bahuvrihi"
3769,<<<sidDa-arTa>K1-boDaka>T6-vAkyezu>T6 <pada-arTena>T6 <anvaya-avagatiH>T6,sidDa arTa boDaka vAkyezu pada arTena anvaya avagatiH,B-C I-C I-C I-C B-C I-C B-C I-C,"0,2 K1|0,3 T6|0,4 T6|4,6 T6|6,8 T6",<<<sidDa-arTa>Tatpurusha-boDaka>Tatpurusha-vAkyezu>Tatpurusha <pada-arTena>Tatpurusha <anvaya-avagatiH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha|4,6 Tatpurusha|6,8 Tatpurusha"
3770,<<jYAna-vijYAna>Di-sahitaM>T6 <na-SuBAt>Tn,jYAna vijYAna sahitaM na SuBAt,B-C I-C I-C B-C I-C,"0,2 Di|0,3 T6|3,5 Tn",<<jYAna-vijYAna>Dvandva-sahitaM>Tatpurusha <na-SuBAt>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha|3,5 Tatpurusha"
3771,<<svarga-Pala>K6-upaBogAya>T6 <<<agnihotra-Adi>Bs6-karma>K1-ArabDe>T3 <<<<naraka-karma>T4-Pala>T6-upaBoga>T6-<na-upapattiH>Tn>T6,svarga Pala upaBogAya agnihotra Adi karma ArabDe naraka karma Pala upaBoga na upapattiH,B-C I-C I-C B-C I-C I-C I-C B-C I-C I-C I-C I-C I-C,"0,2 K6|0,3 T6|3,5 Bs6|3,6 K1|3,7 T3|7,9 T4|7,10 T6|7,11 T6|7,13 T6|11,13 Tn",<<svarga-Pala>Tatpurusha-upaBogAya>Tatpurusha <<<agnihotra-Adi>Bahuvrihi-karma>Tatpurusha-ArabDe>Tatpurusha <<<<naraka-karma>Tatpurusha-Pala>Tatpurusha-upaBoga>Tatpurusha-<na-upapattiH>Tatpurusha>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Bahuvrihi|3,6 Tatpurusha|3,7 Tatpurusha|7,9 Tatpurusha|7,10 Tatpurusha|7,11 Tatpurusha|7,13 Tatpurusha|11,13 Tatpurusha"
3772,<<viveka-budDi>Km-rahitAH>T3 <kAma-AtmanAm>Bs6,viveka budDi rahitAH kAma AtmanAm,B-C I-C I-C B-C I-C,"0,2 Km|0,3 T3|3,5 Bs6",<<viveka-budDi>Tatpurusha-rahitAH>Tatpurusha <kAma-AtmanAm>Bahuvrihi,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Bahuvrihi"
3773,<sarva-<vi-nASaka>Tp>T6,sarva vi nASaka,B-C I-C I-C,"0,3 T6|1,3 Tp",<sarva-<vi-nASaka>Tatpurusha>Tatpurusha,"0,3 Tatpurusha|1,3 Tatpurusha"
3774,<<<toya-agni>Di-guRa>T6-BUyizWatvAt>T6,toya agni guRa BUyizWatvAt,B-C I-C I-C I-C,"0,2 Di|0,3 T6|0,4 T6",<<<toya-agni>Dvandva-guRa>Tatpurusha-BUyizWatvAt>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha|0,4 Tatpurusha"
3775,<nArada-<mahat-fziH>K1>K7 <praSna-anantaraM>T6 <guRa-gAnaM>T6,nArada mahat fziH praSna anantaraM guRa gAnaM,B-C I-C I-C B-C I-C B-C I-C,"0,3 K7|1,3 K1|3,5 T6|5,7 T6",<nArada-<mahat-fziH>Tatpurusha>Tatpurusha <praSna-anantaraM>Tatpurusha <guRa-gAnaM>Tatpurusha,"0,3 Tatpurusha|1,3 Tatpurusha|3,5 Tatpurusha|5,7 Tatpurusha"
3776,<<maDya-ahna>T1-Bojane>T6,maDya ahna Bojane,B-C I-C I-C,"0,2 T1|0,3 T6",<<maDya-ahna>Tatpurusha-Bojane>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
3777,<<<<nir-viBaktika>Bsmn-Gawa>K1-Adi>Bs6-sTale>K1 <<<<<<sa-viBaktika>BvS-<Gawa-Adi>Bs6>K1-pada>K1-jYAna>T6-tva-avacCinna>T3-aBAvasya>T6,nir viBaktika Gawa Adi sTale sa viBaktika Gawa Adi pada jYAna tva avacCinna aBAvasya,B-C I-C I-C I-C I-C B-C I-C I-C I-C I-C I-C I-C I-C I-C,"0,2 Bsmn|0,3 K1|0,4 Bs6|0,5 K1|5,7 BvS|5,9 K1|5,10 K1|5,11 T6|5,13 T3|5,14 T6|7,9 Bs6",<<<<nir-viBaktika>Bahuvrihi-Gawa>Tatpurusha-Adi>Bahuvrihi-sTale>Tatpurusha <<<<<<sa-viBaktika>Bahuvrihi-<Gawa-Adi>Bahuvrihi>Tatpurusha-pada>Tatpurusha-jYAna>Tatpurusha-tva-avacCinna>Tatpurusha-aBAvasya>Tatpurusha,"0,2 Bahuvrihi|0,3 Tatpurusha|0,4 Bahuvrihi|0,5 Tatpurusha|5,7 Bahuvrihi|5,9 Tatpurusha|5,10 Tatpurusha|5,11 Tatpurusha|5,13 Tatpurusha|5,14 Tatpurusha|7,9 Bahuvrihi"
3778,<<yUpa-parivyARa>T6-kAle>T6 <kriyamARa-anuvAdI>U,yUpa parivyARa kAle kriyamARa anuvAdI,B-C I-C I-C B-C I-C,"0,2 T6|0,3 T6|3,5 U",<<yUpa-parivyARa>Tatpurusha-kAle>Tatpurusha <kriyamARa-anuvAdI>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
3779,<iti-AdO>Bs6 <<astitva-anvaya>T6-boDasya>T6,iti AdO astitva anvaya boDasya,B-C I-C B-C I-C I-C,"0,2 Bs6|2,4 T6|2,5 T6",<iti-AdO>Bahuvrihi <<astitva-anvaya>Tatpurusha-boDasya>Tatpurusha,"0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Tatpurusha"
3780,<<rAjya-sevA>T6-vyApftaH>T3,rAjya sevA vyApftaH,B-C I-C I-C,"0,2 T6|0,3 T3",<<rAjya-sevA>Tatpurusha-vyApftaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
3781,<<na-pAra>Tn-senA>K1 <nir-SezatAM>Bs6,na pAra senA nir SezatAM,B-C I-C I-C B-C I-C,"0,2 Tn|0,3 K1|3,5 Bs6",<<na-pAra>Tatpurusha-senA>Tatpurusha <nir-SezatAM>Bahuvrihi,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Bahuvrihi"
3782,<<<<<<<SayyA-upAnta>T7-nivizwa>T7-sasmita>T3-saKI>K1-netra>T6-utsava>T6-AnanditaH>T3,SayyA upAnta nivizwa sasmita saKI netra utsava AnanditaH,B-C I-C I-C I-C I-C I-C I-C I-C,"0,2 T7|0,3 T7|0,4 T3|0,5 K1|0,6 T6|0,7 T6|0,8 T3",<<<<<<<SayyA-upAnta>Tatpurusha-nivizwa>Tatpurusha-sasmita>Tatpurusha-saKI>Tatpurusha-netra>Tatpurusha-utsava>Tatpurusha-AnanditaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha|0,5 Tatpurusha|0,6 Tatpurusha|0,7 Tatpurusha|0,8 Tatpurusha"
3783,<vfkza-padasya>K7 <<vfkza-pada>K7-pratipAdye>T4 <<vfkza-pada>K7-pratipAdyaH>T4 <mahIruha-aBinnaH>T5,vfkza padasya vfkza pada pratipAdye vfkza pada pratipAdyaH mahIruha aBinnaH,B-C I-C B-C I-C I-C B-C I-C I-C B-C I-C,"0,2 K7|2,4 K7|2,5 T4|5,7 K7|5,8 T4|8,10 T5",<vfkza-padasya>Tatpurusha <<vfkza-pada>Tatpurusha-pratipAdye>Tatpurusha <<vfkza-pada>Tatpurusha-pratipAdyaH>Tatpurusha <mahIruha-aBinnaH>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha|5,7 Tatpurusha|5,8 Tatpurusha|8,10 Tatpurusha"
3784,<<pAzARa-sikatA>Di-vAhinyaH>U <vimala-udakAH>Bs6,pAzARa sikatA vAhinyaH vimala udakAH,B-C I-C I-C B-C I-C,"0,2 Di|0,3 U|3,5 Bs6",<<pAzARa-sikatA>Dvandva-vAhinyaH>Tatpurusha <vimala-udakAH>Bahuvrihi,"0,2 Dvandva|0,3 Tatpurusha|3,5 Bahuvrihi"
3785,<<IsAI-Darma>T6-guruH>T6 <carca-Bavane>T6 <vicAra-nirataH>T7 <tad-maDye>T6,IsAI Darma guruH carca Bavane vicAra nirataH tad maDye,B-C I-C I-C B-C I-C B-C I-C B-C I-C,"0,2 T6|0,3 T6|3,5 T6|5,7 T7|7,9 T6",<<IsAI-Darma>Tatpurusha-guruH>Tatpurusha <carca-Bavane>Tatpurusha <vicAra-nirataH>Tatpurusha <tad-maDye>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha|5,7 Tatpurusha|7,9 Tatpurusha"
3786,<Sakti-hInatAm>T6 <<tapasyA-ASraya>T6-BUtAnAm>T3,Sakti hInatAm tapasyA ASraya BUtAnAm,B-C I-C B-C I-C I-C,"0,2 T6|2,4 T6|2,5 T3",<Sakti-hInatAm>Tatpurusha <<tapasyA-ASraya>Tatpurusha-BUtAnAm>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha"
3787,<nASana-arTam>T4 <<Darma-saMsTApana>T6-arTam>T4 <yuga-anuguRam>T6,nASana arTam Darma saMsTApana arTam yuga anuguRam,B-C I-C B-C I-C I-C B-C I-C,"0,2 T4|2,4 T6|2,5 T4|5,7 T6",<nASana-arTam>Tatpurusha <<Darma-saMsTApana>Tatpurusha-arTam>Tatpurusha <yuga-anuguRam>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha|5,7 Tatpurusha"
3788,<calat-valayaH>Bs6 <<sa-candana>BvS-ArdraH>T3 <nir-lajjaH>T3,calat valayaH sa candana ArdraH nir lajjaH,B-C I-C B-C I-C I-C B-C I-C,"0,2 Bs6|2,4 BvS|2,5 T3|5,7 T3",<calat-valayaH>Bahuvrihi <<sa-candana>Bahuvrihi-ArdraH>Tatpurusha <nir-lajjaH>Tatpurusha,"0,2 Bahuvrihi|2,4 Bahuvrihi|2,5 Tatpurusha|5,7 Tatpurusha"
3789,<<yOvarAjya-aBizeka>T7-vfttaM>T6 <Ananda-nirBarAH>T7,yOvarAjya aBizeka vfttaM Ananda nirBarAH,B-C I-C I-C B-C I-C,"0,2 T7|0,3 T6|3,5 T7",<<yOvarAjya-aBizeka>Tatpurusha-vfttaM>Tatpurusha <Ananda-nirBarAH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
3790,<vivaraRa-vAkyasya>T6 <<<vyAkaraRa-aDyayana>T6-kartf>T6-boDaka>T6,vivaraRa vAkyasya vyAkaraRa aDyayana kartf boDaka,B-C I-C B-C I-C I-C I-C,"0,2 T6|2,4 T6|2,5 T6|2,6 T6",<vivaraRa-vAkyasya>Tatpurusha <<<vyAkaraRa-aDyayana>Tatpurusha-kartf>Tatpurusha-boDaka>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha|2,6 Tatpurusha"
3791,<prati-ahaM>A1 <<tad-darSana>T6-arTaM>T4 <jana-samavAyaH>T6,prati ahaM tad darSana arTaM jana samavAyaH,B-C I-C B-C I-C I-C B-C I-C,"0,2 A1|2,4 T6|2,5 T4|5,7 T6",<prati-ahaM>Avyayibhava <<tad-darSana>Tatpurusha-arTaM>Tatpurusha <jana-samavAyaH>Tatpurusha,"0,2 Avyayibhava|2,4 Tatpurusha|2,5 Tatpurusha|5,7 Tatpurusha"
3792,<tri-viDena>Bs6 <<nirdeSa-stuti>T6-arTam>T4,tri viDena nirdeSa stuti arTam,B-C I-C B-C I-C I-C,"0,2 Bs6|2,4 T6|2,5 T4",<tri-viDena>Bahuvrihi <<nirdeSa-stuti>Tatpurusha-arTam>Tatpurusha,"0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Tatpurusha"
3793,<<grahaRI-arSaH>Di-hitaH>T4,grahaRI arSaH hitaH,B-C I-C I-C,"0,2 Di|0,3 T4",<<grahaRI-arSaH>Dvandva-hitaH>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha"
3794,<<hiMsA-Adi>Bs6-duzkftyam>K1,hiMsA Adi duzkftyam,B-C I-C I-C,"0,2 Bs6|0,3 K1",<<hiMsA-Adi>Bahuvrihi-duzkftyam>Tatpurusha,"0,2 Bahuvrihi|0,3 Tatpurusha"
3795,<<purARa-karma>K1-vyAmohitaH>T3,purARa karma vyAmohitaH,B-C I-C I-C,"0,2 K1|0,3 T3",<<purARa-karma>Tatpurusha-vyAmohitaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
3796,<aDi-<asTi-dantO>Di>Tp <<danta-asTi>Di-<Beda-SUlaM>Ds>T6,aDi asTi dantO danta asTi Beda SUlaM,B-C I-C I-C B-C I-C I-C I-C,"0,3 Tp|1,3 Di|3,5 Di|3,7 T6|5,7 Ds",<aDi-<asTi-dantO>Dvandva>Tatpurusha <<danta-asTi>Dvandva-<Beda-SUlaM>Dvandva>Tatpurusha,"0,3 Tatpurusha|1,3 Dvandva|3,5 Dvandva|3,7 Tatpurusha|5,7 Dvandva"
3797,<aBinandana-avasare>T6 <<<mAika-<vidyut-sajjA>T6>Di-Adi>Bs6-vyavasTAyE>T6,aBinandana avasare mAika vidyut sajjA Adi vyavasTAyE,B-C I-C B-C I-C I-C I-C I-C,"0,2 T6|2,5 Di|2,6 Bs6|2,7 T6|3,5 T6",<aBinandana-avasare>Tatpurusha <<<mAika-<vidyut-sajjA>Tatpurusha>Dvandva-Adi>Bahuvrihi-vyavasTAyE>Tatpurusha,"0,2 Tatpurusha|2,5 Dvandva|2,6 Bahuvrihi|2,7 Tatpurusha|3,5 Tatpurusha"
3798,<<rAga-dveza>Di-viyuktEH>T3 <SAstra-<na-virudDezu>Tn>T6 <na-varjanIyezu>Tn <vAkya-arTaH>T6,rAga dveza viyuktEH SAstra na virudDezu na varjanIyezu vAkya arTaH,B-C I-C I-C B-C I-C I-C B-C I-C B-C I-C,"0,2 Di|0,3 T3|3,6 T6|4,6 Tn|6,8 Tn|8,10 T6",<<rAga-dveza>Dvandva-viyuktEH>Tatpurusha <SAstra-<na-virudDezu>Tatpurusha>Tatpurusha <na-varjanIyezu>Tatpurusha <vAkya-arTaH>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha|3,6 Tatpurusha|4,6 Tatpurusha|6,8 Tatpurusha|8,10 Tatpurusha"
3799,<<hemanta-ftu>K7-vaSAt>T6 <grAma-nivAsinaH>T6 <na-sahamAnA>Tn <deSa-antaram>T6,hemanta ftu vaSAt grAma nivAsinaH na sahamAnA deSa antaram,B-C I-C I-C B-C I-C B-C I-C B-C I-C,"0,2 K7|0,3 T6|3,5 T6|5,7 Tn|7,9 T6",<<hemanta-ftu>Tatpurusha-vaSAt>Tatpurusha <grAma-nivAsinaH>Tatpurusha <na-sahamAnA>Tatpurusha <deSa-antaram>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha|5,7 Tatpurusha|7,9 Tatpurusha"
3800,<sarva-AtmA>T6 <<sarva-BUta>K1-suhft>T6,sarva AtmA sarva BUta suhft,B-C I-C B-C I-C I-C,"0,2 T6|2,4 K1|2,5 T6",<sarva-AtmA>Tatpurusha <<sarva-BUta>Tatpurusha-suhft>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha"
3801,<<<yuzmad-sneha>T6-badDa>T3-hfdayaH>Bs6 <na-kAryam>Tn,yuzmad sneha badDa hfdayaH na kAryam,B-C I-C I-C I-C B-C I-C,"0,2 T6|0,3 T3|0,4 Bs6|4,6 Tn",<<<yuzmad-sneha>Tatpurusha-badDa>Tatpurusha-hfdayaH>Bahuvrihi <na-kAryam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Bahuvrihi|4,6 Tatpurusha"
3802,<AkAMkzA-saMniDi-yogyatAnAm>Di,AkAMkzA saMniDi yogyatAnAm,B-C I-C I-C,"0,3 Di",<AkAMkzA-saMniDi-yogyatAnAm>Dvandva,"0,3 Dvandva"
3803,<tad-viparyayAt>T6 <na-parihAryam>Tn <<gItA-SAstra>K7-arTaH>T6,tad viparyayAt na parihAryam gItA SAstra arTaH,B-C I-C B-C I-C B-C I-C I-C,"0,2 T6|2,4 Tn|4,6 K7|4,7 T6",<tad-viparyayAt>Tatpurusha <na-parihAryam>Tatpurusha <<gItA-SAstra>Tatpurusha-arTaH>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha"
3804,<<na-Agata>Tn-Bayena>K1 <sa-SaNkitA>BvS,na Agata Bayena sa SaNkitA,B-C I-C I-C B-C I-C,"0,2 Tn|0,3 K1|3,5 BvS",<<na-Agata>Tatpurusha-Bayena>Tatpurusha <sa-SaNkitA>Bahuvrihi,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Bahuvrihi"
3805,<<rela-yAna>K7-sTAsakam>T6,rela yAna sTAsakam,B-C I-C I-C,"0,2 K7|0,3 T6",<<rela-yAna>Tatpurusha-sTAsakam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
3806,<<AMgla-PreYc-jarman-rUs-hIbrU>Di-BAzABiH>K1 <<arAbik-kopwik-assIriyan-iTiyopiyan>Di-BAzARAm>K1,AMgla PreYc jarman rUs hIbrU BAzABiH arAbik kopwik assIriyan iTiyopiyan BAzARAm,B-C I-C I-C I-C I-C I-C B-C I-C I-C I-C I-C,"0,5 Di|0,6 K1|6,10 Di|6,11 K1",<<AMgla-PreYc-jarman-rUs-hIbrU>Dvandva-BAzABiH>Tatpurusha <<arAbik-kopwik-assIriyan-iTiyopiyan>Dvandva-BAzARAm>Tatpurusha,"0,5 Dvandva|0,6 Tatpurusha|6,10 Dvandva|6,11 Tatpurusha"
3807,<<utsAha-Sakti>T3-hInatAt>K4 <dIrGA-mayaH>T3,utsAha Sakti hInatAt dIrGA mayaH,B-C I-C I-C B-C I-C,"0,2 T3|0,3 K4|3,5 T3",<<utsAha-Sakti>Tatpurusha-hInatAt>Tatpurusha <dIrGA-mayaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
3808,<DyAna-kAle>T6 <<strI-sahAyatva>T6-ASaNkA>T6,DyAna kAle strI sahAyatva ASaNkA,B-C I-C B-C I-C I-C,"0,2 T6|2,4 T6|2,5 T6",<DyAna-kAle>Tatpurusha <<strI-sahAyatva>Tatpurusha-ASaNkA>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha"
3809,<AKyAta-jam>U <AKyAta-SabdaH>K7 <<<tad-arTa>T6-<eka-deSa>K1>T6-DAtO>K1,AKyAta jam AKyAta SabdaH tad arTa eka deSa DAtO,B-C I-C B-C I-C B-C I-C I-C I-C I-C,"0,2 U|2,4 K7|4,6 T6|4,8 T6|4,9 K1|6,8 K1",<AKyAta-jam>Tatpurusha <AKyAta-SabdaH>Tatpurusha <<<tad-arTa>Tatpurusha-<eka-deSa>Tatpurusha>Tatpurusha-DAtO>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|4,6 Tatpurusha|4,8 Tatpurusha|4,9 Tatpurusha|6,8 Tatpurusha"
3810,<nirgama-<na-saMBavAt>Tn>T6 <<loka-saMgraha>T6-cikIrzayA>T6 <<Sizwa-vigarhaRa>T6-<na-parijihIrzayA>Tn>T6 <<nizkriya-<Atman-darSana>T6>K1-saMpannatvAt>T3,nirgama na saMBavAt loka saMgraha cikIrzayA Sizwa vigarhaRa na parijihIrzayA nizkriya Atman darSana saMpannatvAt,B-C I-C I-C B-C I-C I-C B-C I-C I-C I-C B-C I-C I-C I-C,"0,3 T6|1,3 Tn|3,5 T6|3,6 T6|6,8 T6|6,10 T6|8,10 Tn|10,13 K1|10,14 T3|11,13 T6",<nirgama-<na-saMBavAt>Tatpurusha>Tatpurusha <<loka-saMgraha>Tatpurusha-cikIrzayA>Tatpurusha <<Sizwa-vigarhaRa>Tatpurusha-<na-parijihIrzayA>Tatpurusha>Tatpurusha <<nizkriya-<Atman-darSana>Tatpurusha>Tatpurusha-saMpannatvAt>Tatpurusha,"0,3 Tatpurusha|1,3 Tatpurusha|3,5 Tatpurusha|3,6 Tatpurusha|6,8 Tatpurusha|6,10 Tatpurusha|8,10 Tatpurusha|10,13 Tatpurusha|10,14 Tatpurusha|11,13 Tatpurusha"
3811,<<ekaviMSati-dina>T6-avaDiH>K1 <Una-triMSe>Bvs,ekaviMSati dina avaDiH Una triMSe,B-C I-C I-C B-C I-C,"0,2 T6|0,3 K1|3,5 Bvs",<<ekaviMSati-dina>Tatpurusha-avaDiH>Tatpurusha <Una-triMSe>Bahuvrihi,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Bahuvrihi"
3812,<<<na-kzara>Tn-para-brahma>Km-yogaH-nAma>T6,na kzara para brahma yogaH nAma,B-C I-C I-C I-C I-C I-C,"0,2 Tn|0,4 Km|0,6 T6",<<<na-kzara>Tatpurusha-para-brahma>Tatpurusha-yogaH-nAma>Tatpurusha,"0,2 Tatpurusha|0,4 Tatpurusha|0,6 Tatpurusha"
3813,<<pitf-kArya>T6-arTaM>T4,pitf kArya arTaM,B-C I-C I-C,"0,2 T6|0,3 T4",<<pitf-kArya>Tatpurusha-arTaM>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
3814,<<manda-hAsa>K1-pUrvakam>Bs7 <mahat-paRqitaH>K1,manda hAsa pUrvakam mahat paRqitaH,B-C I-C I-C B-C I-C,"0,2 K1|0,3 Bs7|3,5 K1",<<manda-hAsa>Tatpurusha-pUrvakam>Bahuvrihi <mahat-paRqitaH>Tatpurusha,"0,2 Tatpurusha|0,3 Bahuvrihi|3,5 Tatpurusha"
3815,<<<bahuviDa-maRiratna>K1-BUzita>T3-aNgam>Bs6,bahuviDa maRiratna BUzita aNgam,B-C I-C I-C I-C,"0,2 K1|0,3 T3|0,4 Bs6",<<<bahuviDa-maRiratna>Tatpurusha-BUzita>Tatpurusha-aNgam>Bahuvrihi,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Bahuvrihi"
3816,<<para-aDikAra>T6-carcAm>T6 <<svAmin-hita>T6-icCayA>T6,para aDikAra carcAm svAmin hita icCayA,B-C I-C I-C B-C I-C I-C,"0,2 T6|0,3 T6|3,5 T6|3,6 T6",<<para-aDikAra>Tatpurusha-carcAm>Tatpurusha <<svAmin-hita>Tatpurusha-icCayA>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha|3,6 Tatpurusha"
3817,<<yAdfSa-prayojana>K1-pratipAdanAya>T6,yAdfSa prayojana pratipAdanAya,B-C I-C I-C,"0,2 K1|0,3 T6",<<yAdfSa-prayojana>Tatpurusha-pratipAdanAya>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
3818,<<<kanakamaya-ujjvala>K3-dIpikA>K1-<puras-gaH>U>Bs6,kanakamaya ujjvala dIpikA puras gaH,B-C I-C I-C I-C I-C,"0,2 K3|0,3 K1|0,5 Bs6|3,5 U",<<<kanakamaya-ujjvala>Tatpurusha-dIpikA>Tatpurusha-<puras-gaH>Tatpurusha>Bahuvrihi,"0,2 Tatpurusha|0,3 Tatpurusha|0,5 Bahuvrihi|3,5 Tatpurusha"
3819,<<SAstra-vAda>T6-prastAvAya>T6 <budDi-SaktiH>T6,SAstra vAda prastAvAya budDi SaktiH,B-C I-C I-C B-C I-C,"0,2 T6|0,3 T6|3,5 T6",<<SAstra-vAda>Tatpurusha-prastAvAya>Tatpurusha <budDi-SaktiH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
3820,<<<<anya-<pada-arTa>T6>K1-boDa>T6-prayojaka>T6-tva-rUpam>Bs6 <anya-<pada-arTe>T6>K1 <citra-padasya>K7,anya pada arTa boDa prayojaka tva rUpam anya pada arTe citra padasya,B-C I-C I-C I-C I-C I-C I-C B-C I-C I-C B-C I-C,"0,3 K1|0,4 T6|0,5 T6|0,7 Bs6|1,3 T6|7,10 K1|8,10 T6|10,12 K7",<<<<anya-<pada-arTa>Tatpurusha>Tatpurusha-boDa>Tatpurusha-prayojaka>Tatpurusha-tva-rUpam>Bahuvrihi <anya-<pada-arTe>Tatpurusha>Tatpurusha <citra-padasya>Tatpurusha,"0,3 Tatpurusha|0,4 Tatpurusha|0,5 Tatpurusha|0,7 Bahuvrihi|1,3 Tatpurusha|7,10 Tatpurusha|8,10 Tatpurusha|10,12 Tatpurusha"
3821,<<svADyAya-jYAna>Di-yajYAH>Bs6 <yaTA-viDi>A1 <<fk-Adi>Bs6-aByAsaH>T6 <svADyAya-yajYAH>Bs6,svADyAya jYAna yajYAH yaTA viDi fk Adi aByAsaH svADyAya yajYAH,B-C I-C I-C B-C I-C B-C I-C I-C B-C I-C,"0,2 Di|0,3 Bs6|3,5 A1|5,7 Bs6|5,8 T6|8,10 Bs6",<<svADyAya-jYAna>Dvandva-yajYAH>Bahuvrihi <yaTA-viDi>Avyayibhava <<fk-Adi>Bahuvrihi-aByAsaH>Tatpurusha <svADyAya-yajYAH>Bahuvrihi,"0,2 Dvandva|0,3 Bahuvrihi|3,5 Avyayibhava|5,7 Bahuvrihi|5,8 Tatpurusha|8,10 Bahuvrihi"
