,Raw_Tagged,Clean,Bio_tagged,Span_Tagged,Coarse_tag,Coarse_Span_Tagged
597,<<vikAsa-aRu>Di-svarUpEH>T6 <<brahma-rUpa>T6-AdiBiH>Bs6,vikAsa aRu svarUpEH brahma rUpa AdiBiH,B-C I-C I-C B-C I-C I-C,"0,2 Di|0,3 T6|3,5 T6|3,6 Bs6",<<vikAsa-aRu>Dvandva-svarUpEH>Tatpurusha <<brahma-rUpa>Tatpurusha-AdiBiH>Bahuvrihi,"0,2 Dvandva|0,3 Tatpurusha|3,5 Tatpurusha|3,6 Bahuvrihi"
598,<visarga-Silpa-gati-ukti>Ds,visarga Silpa gati ukti,B-C I-C I-C I-C,"0,4 Ds",<visarga-Silpa-gati-ukti>Dvandva,"0,4 Dvandva"
599,<AkASa-vAyu-tejAMsi>Di,AkASa vAyu tejAMsi,B-C I-C I-C,"0,3 Di",<AkASa-vAyu-tejAMsi>Dvandva,"0,3 Dvandva"
600,<<eka-saNGAta>K1-lakzyAH>Bs6 <a-SezataH>Bsmn,eka saNGAta lakzyAH a SezataH,B-C I-C I-C B-C I-C,"0,2 K1|0,3 Bs6|3,5 Bsmn",<<eka-saNGAta>Tatpurusha-lakzyAH>Bahuvrihi <a-SezataH>Bahuvrihi,"0,2 Tatpurusha|0,3 Bahuvrihi|3,5 Bahuvrihi"
601,<<a-vyakta>Tn-svarUpaH>Bs6 <vyakta-rUpaH>Bs6 <jagat-patiH>T6,a vyakta svarUpaH vyakta rUpaH jagat patiH,B-C I-C I-C B-C I-C B-C I-C,"0,2 Tn|0,3 Bs6|3,5 Bs6|5,7 T6",<<a-vyakta>Tatpurusha-svarUpaH>Bahuvrihi <vyakta-rUpaH>Bahuvrihi <jagat-patiH>Tatpurusha,"0,2 Tatpurusha|0,3 Bahuvrihi|3,5 Bahuvrihi|5,7 Tatpurusha"
602,<garBa-udakaM>Km <su-mahat-AtmanaH>Bs6,garBa udakaM su mahat AtmanaH,B-C I-C B-C I-C I-C,"0,2 Km|2,5 Bs6",<garBa-udakaM>Tatpurusha <su-mahat-AtmanaH>Bahuvrihi,"0,2 Tatpurusha|2,5 Bahuvrihi"
603,<sa-<deva-asura-mAnuzAH>Di>Bvs,sa deva asura mAnuzAH,B-C I-C I-C I-C,"0,4 Bvs|1,4 Di",<sa-<deva-asura-mAnuzAH>Dvandva>Bahuvrihi,"0,4 Bahuvrihi|1,4 Dvandva"
604,<vAri-vahni-anila-AkASEH>Di <BUta-AdinA>T6,vAri vahni anila AkASEH BUta AdinA,B-C I-C I-C I-C B-C I-C,"0,4 Di|4,6 T6",<vAri-vahni-anila-AkASEH>Dvandva <BUta-AdinA>Tatpurusha,"0,4 Dvandva|4,6 Tatpurusha"
605,<sattva-Bft>U <<a-prameya>Bsmn-parAkramaH>Bs6,sattva Bft a prameya parAkramaH,B-C I-C B-C I-C I-C,"0,2 U|2,4 Bsmn|2,5 Bs6",<sattva-Bft>Tatpurusha <<a-prameya>Bahuvrihi-parAkramaH>Bahuvrihi,"0,2 Tatpurusha|2,4 Bahuvrihi|2,5 Bahuvrihi"
606,<<a-Kila>Bsmn-BUtAni>K1 <ati-dAruRaH>T2,a Kila BUtAni ati dAruRaH,B-C I-C I-C B-C I-C,"0,2 Bsmn|0,3 K1|3,5 T2",<<a-Kila>Bahuvrihi-BUtAni>Tatpurusha <ati-dAruRaH>Tatpurusha,"0,2 Bahuvrihi|0,3 Tatpurusha|3,5 Tatpurusha"
607,<<eka-arRavII>K1-kfte>U,eka arRavII kfte,B-C I-C I-C,"0,2 K1|0,3 U",<<eka-arRavII>Tatpurusha-kfte>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
608,<<nAga-paryaNka>K6-Sayane>K6 <parama-ISvaraH>K1,nAga paryaNka Sayane parama ISvaraH,B-C I-C I-C B-C I-C,"0,2 K6|0,3 K6|3,5 K1",<<nAga-paryaNka>Tatpurusha-Sayane>Tatpurusha <parama-ISvaraH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
609,<<brahma-rUpa>T6-Dfk>U,brahma rUpa Dfk,B-C I-C I-C,"0,2 T6|0,3 U",<<brahma-rUpa>Tatpurusha-Dfk>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
610,<<sfzwi-sTiti-anta>Di-kArin>U <<brahman-vizRu-Siva>Di-Atmi-kA>Bs6,sfzwi sTiti anta kArin brahman vizRu Siva Atmi kA,B-C I-C I-C I-C B-C I-C I-C I-C I-C,"0,3 Di|0,4 U|4,7 Di|4,9 Bs6",<<sfzwi-sTiti-anta>Dvandva-kArin>Tatpurusha <<brahman-vizRu-Siva>Dvandva-Atmi-kA>Bahuvrihi,"0,3 Dvandva|0,4 Tatpurusha|4,7 Dvandva|4,9 Bahuvrihi"
611,<<sarva-BUta>K1-AtmA>T6 <viSva-rUpaH>Bs6 <na-vyayaH>Bsmn,sarva BUta AtmA viSva rUpaH na vyayaH,B-C I-C I-C B-C I-C B-C I-C,"0,2 K1|0,3 T6|3,5 Bs6|5,7 Bsmn",<<sarva-BUta>Tatpurusha-AtmA>Tatpurusha <viSva-rUpaH>Bahuvrihi <na-vyayaH>Bahuvrihi,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Bahuvrihi|5,7 Bahuvrihi"
612,<<brahmA-Adi>Bs6-avasTABiH>K1 <<na-Seza>Bsmn-mUrtiH>Bs6 <vara-daH>U,brahmA Adi avasTABiH na Seza mUrtiH vara daH,B-C I-C I-C B-C I-C I-C B-C I-C,"0,2 Bs6|0,3 K1|3,5 Bsmn|3,6 Bs6|6,8 U",<<brahmA-Adi>Bahuvrihi-avasTABiH>Tatpurusha <<na-Seza>Bahuvrihi-mUrtiH>Bahuvrihi <vara-daH>Tatpurusha,"0,2 Bahuvrihi|0,3 Tatpurusha|3,5 Bahuvrihi|3,6 Bahuvrihi|6,8 Tatpurusha"
613,<nidAGa-<jYAna-dAnAya>T6>T6,nidAGa jYAna dAnAya,B-C I-C I-C,"0,3 T6|1,3 T6",<nidAGa-<jYAna-dAnAya>Tatpurusha>Tatpurusha,"0,3 Tatpurusha|1,3 Tatpurusha"
614,<<mahat-bala>K1-parIvAre>Bs6,mahat bala parIvAre,B-C I-C I-C,"0,2 K1|0,3 Bs6",<<mahat-bala>Tatpurusha-parIvAre>Bahuvrihi,"0,2 Tatpurusha|0,3 Bahuvrihi"
615,<mahat-BAgaM>Bs6 <<jana-sammarda>T6-varjakam>U,mahat BAgaM jana sammarda varjakam,B-C I-C B-C I-C I-C,"0,2 Bs6|2,4 T6|2,5 U",<mahat-BAgaM>Bahuvrihi <<jana-sammarda>Tatpurusha-varjakam>Tatpurusha,"0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Tatpurusha"
616,<<kzut-kzAma>Di-kaRWam>Bs7 <sa-<samit-kuSam>Di>BvS,kzut kzAma kaRWam sa samit kuSam,B-C I-C I-C B-C I-C I-C,"0,2 Di|0,3 Bs7|3,6 BvS|4,6 Di",<<kzut-kzAma>Dvandva-kaRWam>Bahuvrihi <sa-<samit-kuSam>Dvandva>Bahuvrihi,"0,2 Dvandva|0,3 Bahuvrihi|3,6 Bahuvrihi|4,6 Dvandva"
617,<<dvi-ja>U-SrezWa>T7 <aBi-jYaH>Tp,dvi ja SrezWa aBi jYaH,B-C I-C I-C B-C I-C,"0,2 U|0,3 T7|3,5 Tp",<<dvi-ja>Tatpurusha-SrezWa>Tatpurusha <aBi-jYaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
618,<gaja-indram>T7 <<adri-SfNga>T6-samucCritam>K4,gaja indram adri SfNga samucCritam,B-C I-C B-C I-C I-C,"0,2 T7|2,4 T6|2,5 K4",<gaja-indram>Tatpurusha <<adri-SfNga>Tatpurusha-samucCritam>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha"
619,<<pfTak-cihna>K1-upalakzaRO>Bs6,pfTak cihna upalakzaRO,B-C I-C I-C,"0,2 K1|0,3 Bs6",<<pfTak-cihna>Tatpurusha-upalakzaRO>Bahuvrihi,"0,2 Tatpurusha|0,3 Bahuvrihi"
620,<<vAhya-vAhaka>Di-sambanDaM>T6 <dvi-ja>U,vAhya vAhaka sambanDaM dvi ja,B-C I-C I-C B-C I-C,"0,2 Di|0,3 T6|3,5 U",<<vAhya-vAhaka>Dvandva-sambanDaM>Tatpurusha <dvi-ja>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha|3,5 Tatpurusha"
621,<<aDas-Sabda>K7-nigadyaM>T3,aDas Sabda nigadyaM,B-C I-C I-C,"0,2 K7|0,3 T3",<<aDas-Sabda>Tatpurusha-nigadyaM>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
622,<<dvi-ja>U-SrezWa>T7,dvi ja SrezWa,B-C I-C I-C,"0,2 U|0,3 T7",<<dvi-ja>Tatpurusha-SrezWa>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
623,<<advEta-saMskAra>T6-saMskftaM>T3,advEta saMskAra saMskftaM,B-C I-C I-C,"0,2 T6|0,3 T3",<<advEta-saMskAra>Tatpurusha-saMskftaM>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
624,<<<parama-arTa>K1-sAra>T6-BUtaM>T2 <na-SezataH>Tn,parama arTa sAra BUtaM na SezataH,B-C I-C I-C I-C B-C I-C,"0,2 K1|0,3 T6|0,4 T2|4,6 Tn",<<<parama-arTa>Tatpurusha-sAra>Tatpurusha-BUtaM>Tatpurusha <na-SezataH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha|4,6 Tatpurusha"
625,<Darma-jYa>U <tulya-<Atman-ripu-bAnDavaH>Di>Bs6,Darma jYa tulya Atman ripu bAnDavaH,B-C I-C B-C I-C I-C I-C,"0,2 U|2,6 Bs6|3,6 Di",<Darma-jYa>Tatpurusha <tulya-<Atman-ripu-bAnDavaH>Dvandva>Bahuvrihi,"0,2 Tatpurusha|2,6 Bahuvrihi|3,6 Dvandva"
626,<<<sita-nIla>Di-Adi>Bs6-Bedena>T6,sita nIla Adi Bedena,B-C I-C I-C I-C,"0,2 Di|0,3 Bs6|0,4 T6",<<<sita-nIla>Dvandva-Adi>Bahuvrihi-Bedena>Tatpurusha,"0,2 Dvandva|0,3 Bahuvrihi|0,4 Tatpurusha"
627,<rAjan-varyaH>T7 <<parama-arTa>K1-dfzwiH>Bs6,rAjan varyaH parama arTa dfzwiH,B-C I-C B-C I-C I-C,"0,2 T7|2,4 K1|2,5 Bs6",<rAjan-varyaH>Tatpurusha <<parama-arTa>Tatpurusha-dfzwiH>Bahuvrihi,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Bahuvrihi"
628,<<<jAti-smaraRa>T6-Apta>T3-boDaH>Bs6,jAti smaraRa Apta boDaH,B-C I-C I-C I-C,"0,2 T6|0,3 T3|0,4 Bs6",<<<jAti-smaraRa>Tatpurusha-Apta>Tatpurusha-boDaH>Bahuvrihi,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Bahuvrihi"
629,<<Barata-<nara-indra>T7>K1-<sAra-vfttaM>K1>T6 <Bakti-yuktaH>T3,Barata nara indra sAra vfttaM Bakti yuktaH,B-C I-C I-C I-C I-C B-C I-C,"0,3 K1|0,5 T6|1,3 T7|3,5 K1|5,7 T3",<<Barata-<nara-indra>Tatpurusha>Tatpurusha-<sAra-vfttaM>Tatpurusha>Tatpurusha <Bakti-yuktaH>Tatpurusha,"0,3 Tatpurusha|0,5 Tatpurusha|1,3 Tatpurusha|3,5 Tatpurusha|5,7 Tatpurusha"
630,<nir-guRasya>Bs5 <a-prameyasya>Bsmn <<na-mala>Bsmn-AtmanaH>Bs6,nir guRasya a prameyasya na mala AtmanaH,B-C I-C B-C I-C B-C I-C I-C,"0,2 Bs5|2,4 Bsmn|4,6 Bsmn|4,7 Bs6",<nir-guRasya>Bahuvrihi <a-prameyasya>Bahuvrihi <<na-mala>Bahuvrihi-AtmanaH>Bahuvrihi,"0,2 Bahuvrihi|2,4 Bahuvrihi|4,6 Bahuvrihi|4,7 Bahuvrihi"
631,<<sarga-Adi>Bs6-kartftvaM>T6,sarga Adi kartftvaM,B-C I-C I-C,"0,2 Bs6|0,3 T6",<<sarga-Adi>Bahuvrihi-kartftvaM>Tatpurusha,"0,2 Bahuvrihi|0,3 Tatpurusha"
632,<sarva-BAvAnAm>K1 <<<a-cintya>Tn-jYAna>K1-gocarAH>T6,sarva BAvAnAm a cintya jYAna gocarAH,B-C I-C B-C I-C I-C I-C,"0,2 K1|2,4 Tn|2,5 K1|2,6 T6",<sarva-BAvAnAm>Tatpurusha <<<a-cintya>Tatpurusha-jYAna>Tatpurusha-gocarAH>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha|2,6 Tatpurusha"
633,<<BU-<BU-Bft>U-sAgara>Di-AdInAm>Bs6 <na-SezARAM>Bsmn,BU BU Bft sAgara AdInAm na SezARAM,B-C I-C I-C I-C I-C B-C I-C,"0,4 Di|0,5 Bs6|1,3 U|5,7 Bsmn",<<BU-<BU-Bft>Tatpurusha-sAgara>Dvandva-AdInAm>Bahuvrihi <na-SezARAM>Bahuvrihi,"0,4 Dvandva|0,5 Bahuvrihi|1,3 Tatpurusha|5,7 Bahuvrihi"
634,<sanDyA-<sanDyA-aMSayoH>T6>Di <muni-sattama>T7,sanDyA sanDyA aMSayoH muni sattama,B-C I-C I-C B-C I-C,"0,3 Di|1,3 T6|3,5 T7",<sanDyA-<sanDyA-aMSayoH>Tatpurusha>Dvandva <muni-sattama>Tatpurusha,"0,3 Dvandva|1,3 Tatpurusha|3,5 Tatpurusha"
635,<<catur-daSa>Di-guRaH>Bs6,catur daSa guRaH,B-C I-C I-C,"0,2 Di|0,3 Bs6",<<catur-daSa>Dvandva-guRaH>Bahuvrihi,"0,2 Dvandva|0,3 Bahuvrihi"
636,<tri-lokyaM>Tds <<BUr-Buva>Di-Adi-kam>Bs6,tri lokyaM BUr Buva Adi kam,B-C I-C B-C I-C I-C I-C,"0,2 Tds|2,4 Di|2,6 Bs6",<tri-lokyaM>Tatpurusha <<BUr-Buva>Dvandva-Adi-kam>Bahuvrihi,"0,2 Tatpurusha|2,4 Dvandva|2,6 Bahuvrihi"
637,<tApa-ArtAH>T3 <mahar-loka-nivAsinaH>U,tApa ArtAH mahar loka nivAsinaH,B-C I-C B-C I-C I-C,"0,2 T3|2,5 U",<tApa-ArtAH>Tatpurusha <mahar-loka-nivAsinaH>Tatpurusha,"0,2 Tatpurusha|2,5 Tatpurusha"
638,<eka-arRave>K1 <tri-lokye>Tds <nArAyaRa-Atma-ka>Bs6,eka arRave tri lokye nArAyaRa Atma ka,B-C I-C B-C I-C B-C I-C I-C,"0,2 K1|2,4 Tds|4,7 Bs6",<eka-arRave>Tatpurusha <tri-lokye>Tatpurusha <nArAyaRa-Atma-ka>Bahuvrihi,"0,2 Tatpurusha|2,4 Tatpurusha|4,7 Bahuvrihi"
639,<Bogi-SayyAM>T6 <<<tri-loka>Tds-grAsa>T6-bfMhitaH>T3,Bogi SayyAM tri loka grAsa bfMhitaH,B-C I-C B-C I-C I-C I-C,"0,2 T6|2,4 Tds|2,5 T6|2,6 T3",<Bogi-SayyAM>Tatpurusha <<<tri-loka>Tatpurusha-grAsa>Tatpurusha-bfMhitaH>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha|2,6 Tatpurusha"
640,<<tad-SarIra>T6-samutpannEH>T5,tad SarIra samutpannEH,B-C I-C I-C,"0,2 T6|0,3 T5",<<tad-SarIra>Tatpurusha-samutpannEH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
641,<deva-AdyAH>Bs6 <sTAvara-antAH>Bs6 <<tri-guRya>Tdt-vizaye>T6,deva AdyAH sTAvara antAH tri guRya vizaye,B-C I-C B-C I-C B-C I-C I-C,"0,2 Bs6|2,4 Bs6|4,6 Tdt|4,7 T6",<deva-AdyAH>Bahuvrihi <sTAvara-antAH>Bahuvrihi <<tri-guRya>Tatpurusha-vizaye>Tatpurusha,"0,2 Bahuvrihi|2,4 Bahuvrihi|4,6 Tatpurusha|4,7 Tatpurusha"
642,<<<tri-lokya>Tds-dahana>T6-kzamaH>T7,tri lokya dahana kzamaH,B-C I-C I-C I-C,"0,2 Tds|0,3 T6|0,4 T7",<<<tri-lokya>Tatpurusha-dahana>Tatpurusha-kzamaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha"
643,<<samudBUta-<jvAlA-mAlA>T6>K1-<ati-dIpitam>Tp>T3,samudBUta jvAlA mAlA ati dIpitam,B-C I-C I-C I-C I-C,"0,3 K1|0,5 T3|1,3 T6|3,5 Tp",<<samudBUta-<jvAlA-mAlA>Tatpurusha>Tatpurusha-<ati-dIpitam>Tatpurusha>Tatpurusha,"0,3 Tatpurusha|0,5 Tatpurusha|1,3 Tatpurusha|3,5 Tatpurusha"
644,<<maDyAhna-arka>T6-sama-praBaH>Bb,maDyAhna arka sama praBaH,B-C I-C I-C I-C,"0,2 T6|0,4 Bb",<<maDyAhna-arka>Tatpurusha-sama-praBaH>Bahuvrihi,"0,2 Tatpurusha|0,4 Bahuvrihi"
645,<<arDa-<nArI-nara>Di>K1-vapuH>BvU <pra-caRqaH>Tp <ati-SarIravAn>Tp,arDa nArI nara vapuH pra caRqaH ati SarIravAn,B-C I-C I-C I-C B-C I-C B-C I-C,"0,3 K1|0,4 BvU|1,3 Di|4,6 Tp|6,8 Tp",<<arDa-<nArI-nara>Dvandva>Tatpurusha-vapuH>Bahuvrihi <pra-caRqaH>Tatpurusha <ati-SarIravAn>Tatpurusha,"0,3 Tatpurusha|0,4 Bahuvrihi|1,3 Dvandva|4,6 Tatpurusha|6,8 Tatpurusha"
646,<sOmya-<na-sOmyEH>Tn>Di <SAnta-<na-SAntEH>Tn>Di,sOmya na sOmyEH SAnta na SAntEH,B-C I-C I-C B-C I-C I-C,"0,3 Di|1,3 Tn|3,6 Di|4,6 Tn",<sOmya-<na-sOmyEH>Tatpurusha>Dvandva <SAnta-<na-SAntEH>Tatpurusha>Dvandva,"0,3 Dvandva|1,3 Tatpurusha|3,6 Dvandva|4,6 Tatpurusha"
647,<<tapas-nirDUta>T3-kalmazAm>Bs6,tapas nirDUta kalmazAm,B-C I-C I-C,"0,2 T3|0,3 Bs6",<<tapas-nirDUta>Tatpurusha-kalmazAm>Bahuvrihi,"0,2 Tatpurusha|0,3 Bahuvrihi"
648,<priyavrata-uttAnapAdO>Di <<prasUti-AkUti>Di-saYjYitam>Bs6,priyavrata uttAnapAdO prasUti AkUti saYjYitam,B-C I-C B-C I-C I-C,"0,2 Di|2,4 Di|2,5 Bs6",<priyavrata-uttAnapAdO>Dvandva <<prasUti-AkUti>Dvandva-saYjYitam>Bahuvrihi,"0,2 Dvandva|2,4 Dvandva|2,5 Bahuvrihi"
649,<kanyA-dvayaM>T6 <Darma-jYa>U <<rUpa-OdArya-guRa>Di-anvitam>T3,kanyA dvayaM Darma jYa rUpa OdArya guRa anvitam,B-C I-C B-C I-C B-C I-C I-C I-C,"0,2 T6|2,4 U|4,7 Di|4,8 T3",<kanyA-dvayaM>Tatpurusha <Darma-jYa>Tatpurusha <<rUpa-OdArya-guRa>Dvandva-anvitam>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|4,7 Dvandva|4,8 Tatpurusha"
650,<vyADi-jarA-Soka-tfzRA-kroDAH>Di,vyADi jarA Soka tfzRA kroDAH,B-C I-C I-C I-C I-C,"0,5 Di",<vyADi-jarA-Soka-tfzRA-kroDAH>Dvandva,"0,5 Dvandva"
651,<duHKa-uttarAH>Bs6 <<na-Darma>Tn-lakzaRAH>Bs6,duHKa uttarAH na Darma lakzaRAH,B-C I-C B-C I-C I-C,"0,2 Bs6|2,4 Tn|2,5 Bs6",<duHKa-uttarAH>Bahuvrihi <<na-Darma>Tatpurusha-lakzaRAH>Bahuvrihi,"0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Bahuvrihi"
652,<<muni-vara>T7-<Atman-ja>U>T6,muni vara Atman ja,B-C I-C I-C I-C,"0,2 T7|0,4 T6|2,4 U",<<muni-vara>Tatpurusha-<Atman-ja>Tatpurusha>Tatpurusha,"0,2 Tatpurusha|0,4 Tatpurusha|2,4 Tatpurusha"
653,<<sat-mArga>Tp-niratAH>T7 <sTiti-kAriRaH>U,sat mArga niratAH sTiti kAriRaH,B-C I-C I-C B-C I-C,"0,2 Tp|0,3 T7|3,5 U",<<sat-mArga>Tatpurusha-niratAH>Tatpurusha <sTiti-kAriRaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
654,<sarga-sTiti-vinASAn>Di <maDu-sUdanaH>U,sarga sTiti vinASAn maDu sUdanaH,B-C I-C I-C B-C I-C,"0,3 Di|3,5 U",<sarga-sTiti-vinASAn>Dvandva <maDu-sUdanaH>Tatpurusha,"0,3 Dvandva|3,5 Tatpurusha"
655,<<na-cintya>Tn-AtmA>Bs6 <na-vyAhataH>Tn,na cintya AtmA na vyAhataH,B-C I-C I-C B-C I-C,"0,2 Tn|0,3 Bs6|3,5 Tn",<<na-cintya>Tatpurusha-AtmA>Bahuvrihi <na-vyAhataH>Tatpurusha,"0,2 Tatpurusha|0,3 Bahuvrihi|3,5 Tatpurusha"
656,<utpatti-sTiti-saMyamAn>Di,utpatti sTiti saMyamAn,B-C I-C I-C,"0,3 Di",<utpatti-sTiti-saMyamAn>Dvandva,"0,3 Dvandva"
657,<sfzwi-sTiti-vinASAnAM>Di <sarva-dehizu>K1,sfzwi sTiti vinASAnAM sarva dehizu,B-C I-C I-C B-C I-C,"0,3 Di|3,5 K1",<sfzwi-sTiti-vinASAnAM>Dvandva <sarva-dehizu>Tatpurusha,"0,3 Dvandva|3,5 Tatpurusha"
658,<<<BU-samudra>Di-Adi>Bs6-saritAM>K1 <graha-saMsTitiH>T6,BU samudra Adi saritAM graha saMsTitiH,B-C I-C I-C I-C B-C I-C,"0,2 Di|0,3 Bs6|0,4 K1|4,6 T6",<<<BU-samudra>Dvandva-Adi>Bahuvrihi-saritAM>Tatpurusha <graha-saMsTitiH>Tatpurusha,"0,2 Dvandva|0,3 Bahuvrihi|0,4 Tatpurusha|4,6 Tatpurusha"
659,<<puRya-deSa>K1-praBAvena>T6,puRya deSa praBAvena,B-C I-C I-C,"0,2 K1|0,3 T6",<<puRya-deSa>Tatpurusha-praBAvena>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
660,<su-mahat-AtmanA>Bb,su mahat AtmanA,B-C I-C I-C,"0,3 Bb",<su-mahat-AtmanA>Bahuvrihi,"0,3 Bahuvrihi"
661,<mahat-BAgaH>Bs6 <<Bagavat-nyasta>T7-mAnasaH>Bs6,mahat BAgaH Bagavat nyasta mAnasaH,B-C I-C B-C I-C I-C,"0,2 Bs6|2,4 T7|2,5 Bs6",<mahat-BAgaH>Bahuvrihi <<Bagavat-nyasta>Tatpurusha-mAnasaH>Bahuvrihi,"0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Bahuvrihi"
662,<<na-hiMsA>Tn-Adizu>Bs6 <na-Sezezu>Bsmn,na hiMsA Adizu na Sezezu,B-C I-C I-C B-C I-C,"0,2 Tn|0,3 Bs6|3,5 Bsmn",<<na-hiMsA>Tatpurusha-Adizu>Bahuvrihi <na-Sezezu>Bahuvrihi,"0,2 Tatpurusha|0,3 Bahuvrihi|3,5 Bahuvrihi"
663,<<samit-puzpa-kuSa>Di-AdInAM>Bs6 <<deva-kriyA>T6-kfte>T6,samit puzpa kuSa AdInAM deva kriyA kfte,B-C I-C I-C I-C B-C I-C I-C,"0,3 Di|0,4 Bs6|4,6 T6|4,7 T6",<<samit-puzpa-kuSa>Dvandva-AdInAM>Bahuvrihi <<deva-kriyA>Tatpurusha-kfte>Tatpurusha,"0,3 Dvandva|0,4 Bahuvrihi|4,6 Tatpurusha|4,7 Tatpurusha"
664,<su-mahAn>Tp <<sarva-prARi>K1-<BayaM-karaH>U>T6,su mahAn sarva prARi BayaM karaH,B-C I-C B-C I-C I-C I-C,"0,2 Tp|2,4 K1|2,6 T6|4,6 U",<su-mahAn>Tatpurusha <<sarva-prARi>Tatpurusha-<BayaM-karaH>Tatpurusha>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,6 Tatpurusha|4,6 Tatpurusha"
665,<<nimna-gA>U-tawam>T6,nimna gA tawam,B-C I-C I-C,"0,2 U|0,3 T6",<<nimna-gA>Tatpurusha-tawam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
666,<<vIci-mAlA>T6-pariplutam>T3,vIci mAlA pariplutam,B-C I-C I-C,"0,2 T6|0,3 T3",<<vIci-mAlA>Tatpurusha-pariplutam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
667,<<garBa-pracyuti>T6-dozeRa>T6 <prattuNga-AkramaRena>T6,garBa pracyuti dozeRa prattuNga AkramaRena,B-C I-C I-C B-C I-C,"0,2 T6|0,3 T6|3,5 T6",<<garBa-pracyuti>Tatpurusha-dozeRa>Tatpurusha <prattuNga-AkramaRena>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
668,<<nf-pa>U-tApasaH>K1,nf pa tApasaH,B-C I-C I-C,"0,2 U|0,3 K1",<<nf-pa>Tatpurusha-tApasaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
669,<<dUra-samIpa>Di-parivartini>T6,dUra samIpa parivartini,B-C I-C I-C,"0,2 Di|0,3 T6",<<dUra-samIpa>Dvandva-parivartini>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha"
670,<<vi-mukta>Tp-<rAjya-tanayaH>Di>Bs3 <<pra-ujJita>Tp-<<na-Seza>Tn-bAnDavaH>K1>Bs3,vi mukta rAjya tanayaH pra ujJita na Seza bAnDavaH,B-C I-C I-C I-C B-C I-C I-C I-C I-C,"0,2 Tp|0,4 Bs3|2,4 Di|4,6 Tp|4,9 Bs3|6,8 Tn|6,9 K1",<<vi-mukta>Tatpurusha-<rAjya-tanayaH>Dvandva>Bahuvrihi <<pra-ujJita>Tatpurusha-<<na-Seza>Tatpurusha-bAnDavaH>Tatpurusha>Bahuvrihi,"0,2 Tatpurusha|0,4 Bahuvrihi|2,4 Dvandva|4,6 Tatpurusha|4,9 Bahuvrihi|6,8 Tatpurusha|6,9 Tatpurusha"
671,<<<Kura-agra>T6-kzata>T3-karburA>Bs6,Kura agra kzata karburA,B-C I-C I-C I-C,"0,2 T6|0,3 T3|0,4 Bs6",<<<Kura-agra>Tatpurusha-kzata>Tatpurusha-karburA>Bahuvrihi,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Bahuvrihi"
672,<lUna-SiKAH>K1 <<na-cira>Tn-udgatEH>A1,lUna SiKAH na cira udgatEH,B-C I-C B-C I-C I-C,"0,2 K1|2,4 Tn|2,5 A1",<lUna-SiKAH>Tatpurusha <<na-cira>Tatpurusha-udgatEH>Avyayibhava,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Avyayibhava"
673,<<prIti-prasanna>T3-vadanaH>Bs6 <pArSva-sTe>U,prIti prasanna vadanaH pArSva sTe,B-C I-C I-C B-C I-C,"0,2 T3|0,3 Bs6|3,5 U",<<prIti-prasanna>Tatpurusha-vadanaH>Bahuvrihi <pArSva-sTe>Tatpurusha,"0,2 Tatpurusha|0,3 Bahuvrihi|3,5 Tatpurusha"
