,Raw_Tagged,Book,Clean,Bio_tagged,Span_Tagged,Coarse_Span_Tagged,Coarse_tag
493,"<<<pratimA-pUjA>T6-Adi>Bs6-kftaH>U na AneyAH narakam narAH
",agnipurana,"pratimA pUjA Adi kftaH na AneyAH narakam narAH
",B-C I-C I-C I-C O O O O,"0,2 T6|0,3 Bs6|0,4 U","0,2 Tatpurusha|0,3 Bahuvrihi|0,4 Tatpurusha","<<<pratimA-pUjA>Tatpurusha-Adi>Bahuvrihi-kftaH>Tatpurusha na AneyAH narakam narAH
"
494,"<<<deva-Alaya>T6-Adi>Bs6-<na-karttAraH>Tn>T6 AneyAH te tu gocare
",agnipurana,"deva Alaya Adi na karttAraH AneyAH te tu gocare
",B-C I-C I-C I-C I-C O O O O,"0,2 T6|0,3 Bs6|0,5 T6|3,5 Tn","0,2 Tatpurusha|0,3 Bahuvrihi|0,5 Tatpurusha|3,5 Tatpurusha","<<<deva-Alaya>Tatpurusha-Adi>Bahuvrihi-<na-karttAraH>Tatpurusha>Tatpurusha AneyAH te tu gocare
"
495,"ye <puzpa-DUpa-vAsoBiH>Di BUzaREH ca <ati-vallaBEH>Tg
",agnipurana,"ye puzpa DUpa vAsoBiH BUzaREH ca ati vallaBEH
",O B-C I-C I-C O O B-C I-C,"1,4 Di|6,8 Tg","1,4 Dvandva|6,8 Tatpurusha","ye <puzpa-DUpa-vAsoBiH>Dvandva BUzaREH ca <ati-vallaBEH>Tatpurusha
"
496,"yena ca Ayatanam vizRoH kAritam <<tat-kula>T6-udBavam>T7
",agnipurana,"yena ca Ayatanam vizRoH kAritam tat kula udBavam
",O O O O O B-C I-C I-C,"5,7 T6|5,8 T7","5,7 Tatpurusha|5,8 Tatpurusha","yena ca Ayatanam vizRoH kAritam <<tat-kula>Tatpurusha-udBavam>Tatpurusha
"
497,"<<izwakA-caya>T6-vinyAsaH>T6 yAvanti abdAni tizWati
",agnipurana,"izwakA caya vinyAsaH yAvanti abdAni tizWati
",B-C I-C I-C O O O,"0,2 T6|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<izwakA-caya>Tatpurusha-vinyAsaH>Tatpurusha yAvanti abdAni tizWati
"
498,"<<tAvat-varza>K1-sahasrARi>T6 <tat-karttuH>T6 divi saMsTitiH
",agnipurana,"tAvat varza sahasrARi tat karttuH divi saMsTitiH
",B-C I-C I-C B-C I-C O O,"0,2 K1|0,3 T6|3,5 T6","0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha","<<tAvat-varza>Tatpurusha-sahasrARi>Tatpurusha <tat-karttuH>Tatpurusha divi saMsTitiH
"
499,"<<<deva-sadma>T6-pratikfti-pratizWA>Di-kft>U tu gocare
",agnipurana,"deva sadma pratikfti pratizWA kft tu gocare
",B-C I-C I-C I-C I-C O O,"0,2 T6|0,4 Di|0,5 U","0,2 Tatpurusha|0,4 Dvandva|0,5 Tatpurusha","<<<deva-sadma>Tatpurusha-pratikfti-pratizWA>Dvandva-kft>Tatpurusha tu gocare
"
500,"<yama-uktAH>T3 na Anayan te aTa <<pratizWA-Adi>Bs6-kftam>U hareH
",agnipurana,"yama uktAH na Anayan te aTa pratizWA Adi kftam hareH
",B-C I-C O O O O B-C I-C I-C O,"0,2 T3|6,8 Bs6|6,9 U","0,2 Tatpurusha|6,8 Bahuvrihi|6,9 Tatpurusha","<yama-uktAH>Tatpurusha na Anayan te aTa <<pratizWA-Adi>Bahuvrihi-kftam>Tatpurusha hareH
"
501,"ityAdi <mahat-purARe>K1 Agneye <<<<deva-Alaya>T6-Adi>Bs6-mAhAtmya>T6-varRanam>T6 nAma azwatriMSaH aDyAyaH
",agnipurana,"ityAdi mahat purARe Agneye deva Alaya Adi mAhAtmya varRanam nAma azwatriMSaH aDyAyaH
",O B-C I-C O B-C I-C I-C I-C I-C O O O,"1,3 K1|4,6 T6|4,7 Bs6|4,8 T6|4,9 T6","1,3 Tatpurusha|4,6 Tatpurusha|4,7 Bahuvrihi|4,8 Tatpurusha|4,9 Tatpurusha","ityAdi <mahat-purARe>Tatpurusha Agneye <<<<deva-Alaya>Tatpurusha-Adi>Bahuvrihi-mAhAtmya>Tatpurusha-varRanam>Tatpurusha nAma azwatriMSaH aDyAyaH
"
502,"<<BU-parigraha>T6-viDAnam>T6
",agnipurana,"BU parigraha viDAnam
",B-C I-C I-C,"0,2 T6|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<BU-parigraha>Tatpurusha-viDAnam>Tatpurusha
"
503,"hayaSIrzam tantram Adyam tantram <<trE-lokya>Tdt-mohanam>T6
",agnipurana,"hayaSIrzam tantram Adyam tantram trE lokya mohanam
",O O O O B-C I-C I-C,"4,6 Tdt|4,7 T6","4,6 Tatpurusha|4,7 Tatpurusha","hayaSIrzam tantram Adyam tantram <<trE-lokya>Tatpurusha-mohanam>Tatpurusha
"
504,"pratizWAm hi dvijaH kuryyAt <<<maDya-deSa>K1-Adi>Bs6-samBavaH>T7
",agnipurana,"pratizWAm hi dvijaH kuryyAt maDya deSa Adi samBavaH
",O O O O B-C I-C I-C I-C,"4,6 K1|4,7 Bs6|4,8 T7","4,6 Tatpurusha|4,7 Bahuvrihi|4,8 Tatpurusha","pratizWAm hi dvijaH kuryyAt <<<maDya-deSa>Tatpurusha-Adi>Bahuvrihi-samBavaH>Tatpurusha
"
505,"na <<kacCa-deSa>K7-samBUtaH>T7 <<kAverI-koNkaRa>Di-udgataH>T7
",agnipurana,"na kacCa deSa samBUtaH kAverI koNkaRa udgataH
",O B-C I-C I-C B-C I-C I-C,"1,3 K7|1,4 T7|4,6 Di|4,7 T7","1,3 Tatpurusha|1,4 Tatpurusha|4,6 Dvandva|4,7 Tatpurusha","na <<kacCa-deSa>Tatpurusha-samBUtaH>Tatpurusha <<kAverI-koNkaRa>Dvandva-udgataH>Tatpurusha
"
506,"<<kAmarUpa-kaliNga>Di-utTaH>T7 <kAYcI-kASmIra-koSalaH>Di
",agnipurana,"kAmarUpa kaliNga utTaH kAYcI kASmIra koSalaH
",B-C I-C I-C B-C I-C I-C,"0,2 Di|0,3 T7|3,6 Di","0,2 Dvandva|0,3 Tatpurusha|3,6 Dvandva","<<kAmarUpa-kaliNga>Dvandva-utTaH>Tatpurusha <kAYcI-kASmIra-koSalaH>Dvandva
"
507,"<AkASa-vAyu-tejas-ambu-BUH>Di etAH paYca rAtrayaH
",agnipurana,"AkASa vAyu tejas ambu BUH etAH paYca rAtrayaH
",B-C I-C I-C I-C I-C O O O,"0,5 Di","0,5 Dvandva","<AkASa-vAyu-tejas-ambu-BUH>Dvandva etAH paYca rAtrayaH
"
508,"<<sarva-lakzaRa>K1-hInaH>T3 api saH guruH <<tantra-pAra>T6-gaH>T7
",agnipurana,"sarva lakzaRa hInaH api saH guruH tantra pAra gaH
",B-C I-C I-C O O O B-C I-C I-C,"0,2 K1|0,3 T3|6,8 T6|6,9 T7","0,2 Tatpurusha|0,3 Tatpurusha|6,8 Tatpurusha|6,9 Tatpurusha","<<sarva-lakzaRa>Tatpurusha-hInaH>Tatpurusha api saH guruH <<tantra-pAra>Tatpurusha-gaH>Tatpurusha
"
509,"dakziRe caRqikAyAH ca <pitf-dEtya-Adikasya>Bb ca
",agnipurana,"dakziRe caRqikAyAH ca pitf dEtya Adikasya ca
",O O O B-C I-C I-C O,"3,6 Bb","3,6 Bahuvrihi","dakziRe caRqikAyAH ca <pitf-dEtya-Adikasya>Bahuvrihi ca
"
510,"<<prAkAra-sImA>T6-paryyantam>T6 tataH <BUta-balim>T4 haret
",agnipurana,"prAkAra sImA paryyantam tataH BUta balim haret
",B-C I-C I-C O B-C I-C O,"0,2 T6|0,3 T6|4,6 T4","0,2 Tatpurusha|0,3 Tatpurusha|4,6 Tatpurusha","<<prAkAra-sImA>Tatpurusha-paryyantam>Tatpurusha tataH <BUta-balim>Tatpurusha haret
"
511,"<<catur-aNgula>Km-saMyuktaH>T3 saH hastaH padmahastakaH
",agnipurana,"catur aNgula saMyuktaH saH hastaH padmahastakaH
",B-C I-C I-C O O O,"0,2 Km|0,3 T3","0,2 Tatpurusha|0,3 Tatpurusha","<<catur-aNgula>Tatpurusha-saMyuktaH>Tatpurusha saH hastaH padmahastakaH
"
512,"<<arGya-dAna>T6-viDAnam>T6
",agnipurana,"arGya dAna viDAnam
",B-C I-C I-C,"0,2 T6|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<arGya-dAna>Tatpurusha-viDAnam>Tatpurusha
"
513,"pUrvvam AsIt <mahat-BUtam>K1 <<sarvva-BUta>K1-<Bayam-karam>U>T6
",agnipurana,"pUrvvam AsIt mahat BUtam sarvva BUta Bayam karam
",O O B-C I-C B-C I-C I-C I-C,"2,4 K1|4,6 K1|4,8 T6|6,8 U","2,4 Tatpurusha|4,6 Tatpurusha|4,8 Tatpurusha|6,8 Tatpurusha","pUrvvam AsIt <mahat-BUtam>Tatpurusha <<sarvva-BUta>Tatpurusha-<Bayam-karam>Tatpurusha>Tatpurusha
"
514,"<catuHzazwi-pade>Km kzetre ISam <<koRa-ardDa>T6-saMsTitam>T7
",agnipurana,"catuHzazwi pade kzetre ISam koRa ardDa saMsTitam
",B-C I-C O O B-C I-C I-C,"0,2 Km|4,6 T6|4,7 T7","0,2 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha","<catuHzazwi-pade>Tatpurusha kzetre ISam <<koRa-ardDa>Tatpurusha-saMsTitam>Tatpurusha
"
515,"mahendram ca <<eka-kozWa>Km-sTam>U <sarvva-raktEH>K1 pade ravim
",agnipurana,"mahendram ca eka kozWa sTam sarvva raktEH pade ravim
",O O B-C I-C I-C B-C I-C O O,"2,4 Km|2,5 U|5,7 K1","2,4 Tatpurusha|2,5 Tatpurusha|5,7 Tatpurusha","mahendram ca <<eka-kozWa>Tatpurusha-sTam>Tatpurusha <sarvva-raktEH>Tatpurusha pade ravim
"
516,"vitAnena <<ardDa-pada>T1-gam>U satyam pade BfSam GftEH
",agnipurana,"vitAnena ardDa pada gam satyam pade BfSam GftEH
",O B-C I-C I-C O O O O,"1,3 T1|1,4 U","1,3 Tatpurusha|1,4 Tatpurusha","vitAnena <<ardDa-pada>Tatpurusha-gam>Tatpurusha satyam pade BfSam GftEH
"
517,"vyoma <SAkuna-mAMsena>T6 <<<koRa-ardDa>T6-pada>K1-saMsTitam>T7
",agnipurana,"vyoma SAkuna mAMsena koRa ardDa pada saMsTitam
",O B-C I-C B-C I-C I-C I-C,"1,3 T6|3,5 T6|3,6 K1|3,7 T7","1,3 Tatpurusha|3,5 Tatpurusha|3,6 Tatpurusha|3,7 Tatpurusha","vyoma <SAkuna-mAMsena>Tatpurusha <<<koRa-ardDa>Tatpurusha-pada>Tatpurusha-saMsTitam>Tatpurusha
"
518,"yavEH pApam <<pada-ardDa>T6-sTam>U rogam ardDe ca maRqakEH
",agnipurana,"yavEH pApam pada ardDa sTam rogam ardDe ca maRqakEH
",O O B-C I-C I-C O O O O,"2,4 T6|2,5 U","2,4 Tatpurusha|2,5 Tatpurusha","yavEH pApam <<pada-ardDa>Tatpurusha-sTam>Tatpurusha rogam ardDe ca maRqakEH
"
519,"laqqukEH ca marIcim tu <<pUrva-kozWa>Km-catuzwaye>T6
",agnipurana,"laqqukEH ca marIcim tu pUrva kozWa catuzwaye
",O O O O B-C I-C I-C,"4,6 Km|4,7 T6","4,6 Tatpurusha|4,7 Tatpurusha","laqqukEH ca marIcim tu <<pUrva-kozWa>Tatpurusha-catuzwaye>Tatpurusha
"
520,"<pitta-asfk-asTiBiH>Di pApAm pilipiYjam srajA sfjA
",agnipurana,"pitta asfk asTiBiH pApAm pilipiYjam srajA sfjA
",B-C I-C I-C O O O O,"0,3 Di","0,3 Dvandva","<pitta-asfk-asTiBiH>Dvandva pApAm pilipiYjam srajA sfjA
"
521,"<arGya-dAnam>T6 vinizpAdya <go-vastra-AdIn>Bb dadet gurO
",agnipurana,"arGya dAnam vinizpAdya go vastra AdIn dadet gurO
",B-C I-C O B-C I-C I-C O O,"0,2 T6|3,6 Bb","0,2 Tatpurusha|3,6 Bahuvrihi","<arGya-dAnam>Tatpurusha vinizpAdya <go-vastra-AdIn>Bahuvrihi dadet gurO
"
522,"ityAdi <mahat-purARe>K1 Agneye <<arGya-dAna>T6-kaTanam>T6 nAma catvAriMSaH aDyAyaH
",agnipurana,"ityAdi mahat purARe Agneye arGya dAna kaTanam nAma catvAriMSaH aDyAyaH
",O B-C I-C O B-C I-C I-C O O O,"1,3 K1|4,6 T6|4,7 T6","1,3 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha","ityAdi <mahat-purARe>Tatpurusha Agneye <<arGya-dAna>Tatpurusha-kaTanam>Tatpurusha nAma catvAriMSaH aDyAyaH
"
523,"SrUyatAM <<nf-pa>U-SArdUla>T7 yat gItam fBuRA purA
",Vishnupurana,"SrUyatAM nf pa SArdUla yat gItam fBuRA purA
",O B-C I-C I-C O O O O,"1,3 U|1,4 T7","1,3 Tatpurusha|1,4 Tatpurusha","SrUyatAM <<nf-pa>Tatpurusha-SArdUla>Tatpurusha yat gItam fBuRA purA
"
524,"<vijYAta-<tattva-<sat-BAvaH>T6>Di>Bs3 nisargAt eva <BU-pate>T6
",Vishnupurana,"vijYAta tattva sat BAvaH nisargAt eva BU pate
",B-C I-C I-C I-C O O B-C I-C,"0,4 Bs3|1,4 Di|2,4 T6|6,8 T6","0,4 Bahuvrihi|1,4 Dvandva|2,4 Tatpurusha|6,8 Tatpurusha","<vijYAta-<tattva-<sat-BAvaH>Tatpurusha>Dvandva>Bahuvrihi nisargAt eva <BU-pate>Tatpurusha
"
525,"prAdAt <<na-Seza>Bsmn-vijYAnaM>T6 saH tasmE parayA mudA
",Vishnupurana,"prAdAt na Seza vijYAnaM saH tasmE parayA mudA
",O B-C I-C I-C O O O O,"1,3 Bsmn|1,4 T6","1,3 Bahuvrihi|1,4 Tatpurusha","prAdAt <<na-Seza>Bahuvrihi-vijYAnaM>Tatpurusha saH tasmE parayA mudA
"
526,"<avApta-<jYAna-tantrasya>T6>Bs3 na tasya <advEta-vAsanA>T6
",Vishnupurana,"avApta jYAna tantrasya na tasya advEta vAsanA
",B-C I-C I-C O O B-C I-C,"0,3 Bs3|1,3 T6|5,7 T6","0,3 Bahuvrihi|1,3 Tatpurusha|5,7 Tatpurusha","<avApta-<jYAna-tantrasya>Tatpurusha>Bahuvrihi na tasya <advEta-vAsanA>Tatpurusha
"
527,"<<ramya-upavana>K1-paryante>T6 saH tasmin <pArTiva-uttama>T7
",Vishnupurana,"ramya upavana paryante saH tasmin pArTiva uttama
",B-C I-C I-C O O B-C I-C,"0,2 K1|0,3 T6|5,7 T7","0,2 Tatpurusha|0,3 Tatpurusha|5,7 Tatpurusha","<<ramya-upavana>Tatpurusha-paryante>Tatpurusha saH tasmin <pArTiva-uttama>Tatpurusha
"
528,"saH tasya <vESvadeva-ante>T6 <<dvAra-Alokana>Km-gocare>T3
",Vishnupurana,"saH tasya vESvadeva ante dvAra Alokana gocare
",O O B-C I-C B-C I-C I-C,"2,4 T6|4,6 Km|4,7 T3","2,4 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha","saH tasya <vESvadeva-ante>Tatpurusha <<dvAra-Alokana>Tatpurusha-gocare>Tatpurusha
"
529,"<<pra-kzAlita>Tp-<aNGri-pARiM>Ds>Bs3 ca <kfta-<Asana-parigraham>T6>Bs3
",Vishnupurana,"pra kzAlita aNGri pARiM ca kfta Asana parigraham
",B-C I-C I-C I-C O B-C I-C I-C,"0,2 Tp|0,4 Bs3|2,4 Ds|5,8 Bs3|6,8 T6","0,2 Tatpurusha|0,4 Bahuvrihi|2,4 Dvandva|5,8 Bahuvrihi|6,8 Tatpurusha","<<pra-kzAlita>Tatpurusha-<aNGri-pARiM>Dvandva>Bahuvrihi ca <kfta-<Asana-parigraham>Tatpurusha>Bahuvrihi
"
530,"uvAca saH <<dvi-ja>U-SrezWaH>T7 BujyatAm iti <sa-Adaram>BvS
",Vishnupurana,"uvAca saH dvi ja SrezWaH BujyatAm iti sa Adaram
",O O B-C I-C I-C O O B-C I-C,"2,4 U|2,5 T7|7,9 BvS","2,4 Tatpurusha|2,5 Tatpurusha|7,9 Bahuvrihi","uvAca saH <<dvi-ja>Tatpurusha-SrezWaH>Tatpurusha BujyatAm iti <sa-Adaram>Bahuvrihi
"
531,"<saktu-yAvaka-vAwyAnAm>Di apUpAnAM ca me gfhe
",Vishnupurana,"saktu yAvaka vAwyAnAm apUpAnAM ca me gfhe
",B-C I-C I-C O O O O,"0,3 Di","0,3 Dvandva","<saktu-yAvaka-vAwyAnAm>Dvandva apUpAnAM ca me gfhe
"
532,"yat rocate <<dvi-ja>U-SrezWa>T7 tat tvaM BuNkzva yaTA icCayA
",Vishnupurana,"yat rocate dvi ja SrezWa tat tvaM BuNkzva yaTA icCayA
",O O B-C I-C I-C O O O O O,"2,4 U|2,5 T7","2,4 Tatpurusha|2,5 Tatpurusha","yat rocate <<dvi-ja>Tatpurusha-SrezWa>Tatpurusha tat tvaM BuNkzva yaTA icCayA
"
533,"<<saMyAva-pAyasa>Di-AdIni>Bs6 <drapsa-PARitavanti>K1 ca
",Vishnupurana,"saMyAva pAyasa AdIni drapsa PARitavanti ca
",B-C I-C I-C B-C I-C O,"0,2 Di|0,3 Bs6|3,5 K1","0,2 Dvandva|0,3 Bahuvrihi|3,5 Tatpurusha","<<saMyAva-pAyasa>Dvandva-AdIni>Bahuvrihi <drapsa-PARitavanti>Tatpurusha ca
"
534,"<kzut-tfzRe>Di <<deha-Darma>T6-AKye>Bs6 na mama ete yataH <dvi-ja>U
",Vishnupurana,"kzut tfzRe deha Darma AKye na mama ete yataH dvi ja
",B-C I-C B-C I-C I-C O O O O B-C I-C,"0,2 Di|2,4 T6|2,5 Bs6|9,11 U","0,2 Dvandva|2,4 Tatpurusha|2,5 Bahuvrihi|9,11 Tatpurusha","<kzut-tfzRe>Dvandva <<deha-Darma>Tatpurusha-AKye>Bahuvrihi na mama ete yataH <dvi-ja>Tatpurusha
"
535,"tataH <<kzut-samBava>T6-<na-BAvAt>Tn>T6 tfptiH asti eva me sadA
",Vishnupurana,"tataH kzut samBava na BAvAt tfptiH asti eva me sadA
",O B-C I-C I-C I-C O O O O O,"1,3 T6|1,5 T6|3,5 Tn","1,3 Tatpurusha|1,5 Tatpurusha|3,5 Tatpurusha","tataH <<kzut-samBava>Tatpurusha-<na-BAvAt>Tatpurusha>Tatpurusha tfptiH asti eva me sadA
"
536,"saH ahaM gantA na ca agantA na <<eka-deSa>K1-niketanaH>Bs6
",Vishnupurana,"saH ahaM gantA na ca agantA na eka deSa niketanaH
",O O O O O O O B-C I-C I-C,"7,9 K1|7,10 Bs6","7,9 Tatpurusha|7,10 Bahuvrihi","saH ahaM gantA na ca agantA na <<eka-deSa>Tatpurusha-niketanaH>Bahuvrihi
"
537,"kiM vakzyasi iti tatra api SrUyatAM <<dvi-ja>U-sattama>T7
",Vishnupurana,"kiM vakzyasi iti tatra api SrUyatAM dvi ja sattama
",O O O O O O B-C I-C I-C,"6,8 U|6,9 T7","6,8 Tatpurusha|6,9 Tatpurusha","kiM vakzyasi iti tatra api SrUyatAM <<dvi-ja>Tatpurusha-sattama>Tatpurusha
"
538,"kim <na-svAdu>Tn aTa vA mfzwaM BuYjataH asti <<dvi-ja>U-uttama>T7
",Vishnupurana,"kim na svAdu aTa vA mfzwaM BuYjataH asti dvi ja uttama
",O B-C I-C O O O O O B-C I-C I-C,"1,3 Tn|8,10 U|8,11 T7","1,3 Tatpurusha|8,10 Tatpurusha|8,11 Tatpurusha","kim <na-svAdu>Tatpurusha aTa vA mfzwaM BuYjataH asti <<dvi-ja>Tatpurusha-uttama>Tatpurusha
"
539,"<Adi-maDya-avasAnezu>Di kim annaM <ruci-kArakam>U
",Vishnupurana,"Adi maDya avasAnezu kim annaM ruci kArakam
",B-C I-C I-C O O B-C I-C,"0,3 Di|5,7 U","0,3 Dvandva|5,7 Tatpurusha","<Adi-maDya-avasAnezu>Dvandva kim annaM <ruci-kArakam>Tatpurusha
"
540,"<<yava-goDUma-mudga>Di-Adi>Bs6 GftaM tElaM payaH daDi
",Vishnupurana,"yava goDUma mudga Adi GftaM tElaM payaH daDi
",B-C I-C I-C I-C O O O O,"0,3 Di|0,4 Bs6","0,3 Dvandva|0,4 Bahuvrihi","<<yava-goDUma-mudga>Dvandva-Adi>Bahuvrihi GftaM tElaM payaH daDi
"
541,"tat etat BavatA jYAtvA <<mfzwa-<na-mfzwa>Tn>Di-vicAri>T6 yat
",Vishnupurana,"tat etat BavatA jYAtvA mfzwa na mfzwa vicAri yat
",O O O O B-C I-C I-C I-C O,"4,7 Di|4,8 T6|5,7 Tn","4,7 Dvandva|4,8 Tatpurusha|5,7 Tatpurusha","tat etat BavatA jYAtvA <<mfzwa-<na-mfzwa>Tatpurusha>Dvandva-vicAri>Tatpurusha yat
"
542,"iti AkarRya vacaH tasya <<parama-arTa>K1-ASritaM>T2 <nf-pa>U
",Vishnupurana,"iti AkarRya vacaH tasya parama arTa ASritaM nf pa
",O O O O B-C I-C I-C B-C I-C,"4,6 K1|4,7 T2|7,9 U","4,6 Tatpurusha|4,7 Tatpurusha|7,9 Tatpurusha","iti AkarRya vacaH tasya <<parama-arTa>Tatpurusha-ASritaM>Tatpurusha <nf-pa>Tatpurusha
"
543,"prasIda <<asmad-hita>T6-arTAya>T4 kaTyatAM yat tvam AgataH
",Vishnupurana,"prasIda asmad hita arTAya kaTyatAM yat tvam AgataH
",O B-C I-C I-C O O O O,"1,3 T6|1,4 T4","1,3 Tatpurusha|1,4 Tatpurusha","prasIda <<asmad-hita>Tatpurusha-arTAya>Tatpurusha kaTyatAM yat tvam AgataH
"
544,"parASaraM <muni-varaM>T7 <kfta-<<pOrva-Ahnika>K1-kriyam>K1>Bs3
",Vishnupurana,"parASaraM muni varaM kfta pOrva Ahnika kriyam
",O B-C I-C B-C I-C I-C I-C,"1,3 T7|3,7 Bs3|4,6 K1|4,7 K1","1,3 Tatpurusha|3,7 Bahuvrihi|4,6 Tatpurusha|4,7 Tatpurusha","parASaraM <muni-varaM>Tatpurusha <kfta-<<pOrva-Ahnika>Tatpurusha-kriyam>Tatpurusha>Bahuvrihi
"
545,"mEtreyaH paripapracCa <pra-ni-patya>Tg <aBi-vAdya>Tg ca
",Vishnupurana,"mEtreyaH paripapracCa pra ni patya aBi vAdya ca
",O O B-C I-C I-C B-C I-C O,"2,5 Tg|5,7 Tg","2,5 Tatpurusha|5,7 Tatpurusha","mEtreyaH paripapracCa <pra-ni-patya>Tatpurusha <aBi-vAdya>Tatpurusha ca
"
546,"<tvat-prasAdAt>T6 <muni-Srezwa>T7 mAmanye na <<a-kfta>Tn-Sramam>BS6
",Vishnupurana,"tvat prasAdAt muni Srezwa mAmanye na a kfta Sramam
",B-C I-C B-C I-C O O B-C I-C I-C,"0,2 T6|2,4 T7|6,8 Tn|6,9 BS6","0,2 Tatpurusha|2,4 Tatpurusha|6,8 Tatpurusha|6,9 Bahuvrihi","<tvat-prasAdAt>Tatpurusha <muni-Srezwa>Tatpurusha mAmanye na <<a-kfta>Tatpurusha-Sramam>Bahuvrihi
"
547,"<deva-fzi-pArTivAnAM>Di ca caritaM yat <mahat-mune>K1
",Vishnupurana,"deva fzi pArTivAnAM ca caritaM yat mahat mune
",B-C I-C I-C O O O B-C I-C,"0,3 Di|6,8 K1","0,3 Dvandva|6,8 Tatpurusha","<deva-fzi-pArTivAnAM>Dvandva ca caritaM yat <mahat-mune>Tatpurusha
"
548,"hanyate tAta kaH kena yataH <<sva-kfta>T3-Buk>U pumAn
",Vishnupurana,"hanyate tAta kaH kena yataH sva kfta Buk pumAn
",O O O O O B-C I-C I-C O,"5,7 T3|5,8 U","5,7 Tatpurusha|5,8 Tatpurusha","hanyate tAta kaH kena yataH <<sva-kfta>Tatpurusha-Buk>Tatpurusha pumAn
"
549,"<<<svarga-apavarga>Di-vyAseDa>T6-kAraRaM>T6 <parama-fzayaH>K1
",Vishnupurana,"svarga apavarga vyAseDa kAraRaM parama fzayaH
",B-C I-C I-C I-C B-C I-C,"0,2 Di|0,3 T6|0,4 T6|4,6 K1","0,2 Dvandva|0,3 Tatpurusha|0,4 Tatpurusha|4,6 Tatpurusha","<<<svarga-apavarga>Dvandva-vyAseDa>Tatpurusha-kAraRaM>Tatpurusha <parama-fzayaH>Tatpurusha
"
550,"upasaMhftavAn satraM sadyaH <<tat-vAkya>T6-gOravAt>T7
",Vishnupurana,"upasaMhftavAn satraM sadyaH tat vAkya gOravAt
",O O O B-C I-C I-C,"3,5 T6|3,6 T7","3,5 Tatpurusha|3,6 Tatpurusha","upasaMhftavAn satraM sadyaH <<tat-vAkya>Tatpurusha-gOravAt>Tatpurusha
"
551,"<<purARa-saMhitA>T6-kartA>T6 BavAn vatsa Bavizyati
",Vishnupurana,"purARa saMhitA kartA BavAn vatsa Bavizyati
",B-C I-C I-C O O O,"0,2 T6|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<purARa-saMhitA>Tatpurusha-kartA>Tatpurusha BavAn vatsa Bavizyati
"
552,"<<sTiti-saMyama>Di-kartA>T6 asO jagataHasya jagatca saH
",Vishnupurana,"sTiti saMyama kartA asO jagataHasya jagatca saH
",B-C I-C I-C O O O O,"0,2 Di|0,3 T6","0,2 Dvandva|0,3 Tatpurusha","<<sTiti-saMyama>Dvandva-kartA>Tatpurusha asO jagataHasya jagatca saH
"
553,"niSamya tasya iti vacaH <<parama-arTa>K1-samanvitam>T3
",Vishnupurana,"niSamya tasya iti vacaH parama arTa samanvitam
",O O O O B-C I-C I-C,"4,6 K1|4,7 T3","4,6 Tatpurusha|4,7 Tatpurusha","niSamya tasya iti vacaH <<parama-arTa>Tatpurusha-samanvitam>Tatpurusha
"
554,"etasmin <<parama-arTa>K1-jYa>U mama <Srotra-paTaM>T6 gate
",Vishnupurana,"etasmin parama arTa jYa mama Srotra paTaM gate
",O B-C I-C I-C O B-C I-C O,"1,3 K1|1,4 U|5,7 T6","1,3 Tatpurusha|1,4 Tatpurusha|5,7 Tatpurusha","etasmin <<parama-arTa>Tatpurusha-jYa>Tatpurusha mama <Srotra-paTaM>Tatpurusha gate
"
555,"manaH vihvalatAm eti <<parama-arTa>K1-arTitAM>T6 gatam
",Vishnupurana,"manaH vihvalatAm eti parama arTa arTitAM gatam
",O O O B-C I-C I-C O,"3,5 K1|3,6 T6","3,5 Tatpurusha|3,6 Tatpurusha","manaH vihvalatAm eti <<parama-arTa>Tatpurusha-arTitAM>Tatpurusha gatam
"
556,"tena eva <<parama-arTa>K1-arTaM>T4 tvayi cetaH praDAvati
",Vishnupurana,"tena eva parama arTa arTaM tvayi cetaH praDAvati
",O O B-C I-C I-C O O O,"2,4 K1|2,5 T4","2,4 Tatpurusha|2,5 Tatpurusha","tena eva <<parama-arTa>Tatpurusha-arTaM>Tatpurusha tvayi cetaH praDAvati
"
557,"vizRoH aMSaH <<jagat-moha>T6-nASAya>T6 urvIm upAgataH
",Vishnupurana,"vizRoH aMSaH jagat moha nASAya urvIm upAgataH
",O O B-C I-C I-C O O,"2,4 T6|2,5 T6","2,4 Tatpurusha|2,5 Tatpurusha","vizRoH aMSaH <<jagat-moha>Tatpurusha-nASAya>Tatpurusha urvIm upAgataH
"
